random_rank,pmid,pmcid,doi,publication_year,title,eligibility,screen_reason
127,36203769,PMC9530049,10.3389/fmed.2022.952611,2022,Appropriate empirical antifungal therapy is associated with a reduced mortality rate in intensive care unit patients with invasive fungal infection: A real-world retrospective study based on the MIMIC-IV database.,included,focal medication exposure associated with a clinical outcome
128,40225322,PMC11985425,10.3389/fendo.2025.1496696,2025,Assessment of stress hyperglycemia ratio to predict mortality in critically ill patients with sepsis: a retrospective cohort study from the MIMIC-IV database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
129,37341702,PMC10994183,10.1097/MCG.0000000000001877,2024 May-Jun 01,Risk Factors and Prognosis Analysis of Upper Gastrointestinal Bleeding in Patients With Acute Severe Cerebral Stroke.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
130,41390635,PMC12817760,10.1186/s12882-025-04668-1,2025,Blood pressure response index and acute kidney injury progression in heart failure patients: a retrospective cohort study from MIMIC-IV.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
131,38322625,PMC10843181,10.1159/000535891,2024,Association between the Triglyceride Glucose Index and All-Cause Mortality in Critically Ill Patients with Acute Kidney Injury.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
132,39763061,PMC11721622,10.1080/0886022X.2024.2449199,2025,Investigation of the connection between triglyceride-glucose (TyG) index and the risk of acute kidney injury in septic patients - a retrospective analysis utilizing the MIMIC-IV database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
133,41071834,PMC12513587,10.1371/journal.pone.0333795,2025,Heparin improves the mortality of patients with non-pulmonary sepsis-associated ARDS: A MIMIC-IV database analysis based on propensity score matching.,included,focal medication exposure associated with a clinical outcome
134,40410920,PMC12102817,10.1186/s40001-025-02660-x,2025,Analysis of the heterogeneous treatment effect of vasoactive drug dosage and time on hospital mortality across different sepsis phenotypes: a retrospective cohort study.,included,focal medication exposure associated with a clinical outcome
135,38116082,PMC10729002,10.3389/fphar.2023.1281235,2023,Impact of early heparin therapy on outcomes in patients with solid malignancy associated sepsis: a marginal structural model causal analyse.,included,focal medication exposure associated with a clinical outcome
136,38696251,PMC11099809,10.2196/54363,2024,Improving the Prognostic Evaluation Precision of Hospital Outcomes for Heart Failure Using Admission Notes and Clinical Tabular Data: Multimodal Deep Learning Model.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
137,39328809,PMC11425751,10.1177/20420986241279128,2024,Development and validation of a risk prediction model for linezolid-induced anemia in elderly patients: a retrospective cohort study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
138,36168402,PMC9501718,10.1093/burnst/tkac029,2022,Early prophylactic anticoagulation with heparin alleviates mortality in critically ill patients with sepsis: a retrospective analysis from the MIMIC-IV database.,included,focal medication exposure associated with a clinical outcome
139,39712174,PMC11659220,10.3389/fmed.2024.1500995,2024,L-shaped association between triglyceride-glucose body mass index and short-term mortality in ICU patients with sepsis-associated acute kidney injury.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
140,40205353,PMC11983910,10.1186/s12882-025-04106-2,2025,Development and validation of a prediction model for the risk of citrate accumulation in critically ill patients with citrate anticoagulation for continuous renal replacement therapy: a retrospective cohort study based on MIMIC-IV database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
141,40251213,PMC12008299,10.1038/s41598-025-96735-8,2025,Association between triglyceride glucose index and all-cause mortality in patients with critical atrial fibrillation in the MIMIC-IV database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
142,39980278,PMC11849006,10.1080/0886022X.2024.2441393,2025,Prognosis of critically ill patients with early and late sepsis-associated acute kidney injury: an observational study based on the MIMIC-IV.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
143,34820408,PMC8606583,10.3389/fmed.2021.785711,2021,Rule-Based Models for Risk Estimation and Analysis of In-hospital Mortality in Emergency and Critical Care.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
144,40236438,PMC11998806,10.1101/2025.03.31.25324893,2025,Racial Differences in Temporal Thermometry and Association with Delayed Sepsis Bundle Care.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
145,41069398,PMC12506791,10.2147/OAEM.S539104,2025,Early Prophylactic Anticoagulation and In-Hospital Mortality in Patients with Severe Acute Pancreatitis: A Retrospective Cohort Study.,included,focal medication exposure associated with a clinical outcome
146,38807249,PMC11131318,10.1186/s13098-024-01358-0,2024,Association of triglyceride glucose index with the risk of acute kidney injury in patients with coronary revascularization: a cohort study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
147,41094486,PMC12522218,10.1186/s12911-025-03220-3,2025,Development of an interpretable machine learning model for predicting prolonged hospital stay in patients with acute exacerbation of chronic obstructive pulmonary disease: a retrospective cohort study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
148,42144611,PMC13348876,10.1186/s12933-026-03212-1,2026,Comparative prognostic value of TyG index and TyG-BMI for 90-day all-cause mortality in critically ill older adults with ASCVD: a machine learning analysis of the MIMIC-IV database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
149,42138712,PMC13180173,10.1177/10760296261452851,2026,Direct Oral Anticoagulants Increase Overall but Not Major Bleeding in Critically Ill Chronic Kidney Disease Patients With Pulmonary Embolism.,included,focal medication exposure associated with a clinical outcome
